city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Botkyrka,59.238609,17.851872
Danderyd,59.40924,18.04847
Ekerö,59.2667,17.7333
Haninge,59.16775,18.14478
Huddinge,59.2333,17.9833
Järfälla,59.410065,17.836804
Lidingö,59.3642,18.131
Nacka,59.3,18.1667
Norrtälje,59.7667,18.7
Nykvarn,59.1833,17.4333
Nynäshamn,58.9076,17.9446
Salem,59.20768,17.7742216
Sigtuna,59.61731,17.72361
Sollentuna,59.4667,17.9
Solna,59.3667,18.0167
Stockholm,59.3294,18.0686
Sundbyberg,59.3607,17.9717
Södertälje,59.1978,17.6272
Tyresö,59.2333,18.3
Täby,59.5,18.05
Upplands Väsby,59.5167,17.9
Upplands-Bro,59.509473,17.6333
Vallentuna,59.5333,18.0833
Vaxholm,59.4,18.3333
Värmdö,59.329444,19.072222
Österåker,59.485833333333,18.386666666667
Enköping,59.6333,17.0667
Heby,59.9333,16.8833
Håbo,59.64953,17.50701
Knivsta,59.7167,17.8
Tierp,60.3333,17.5
Uppsala,59.8601,17.64
Älvkarleby,60.568607,17.448913
Östhammar,60.2589,18.3736
Eskilstuna,59.3487,16.449
Flen,59.0667,16.5833
Gnesta,59.05,17.3
Katrineholm,59,16.2
Nyköping,58.7582,17.0185
Oxelösund,58.6667,17.1
Strängnäs,59.3833,17.0333
Trosa,58.9,17.55
Vingåker,59.0333,15.8667
Boxholm,58.2,15.05
Finspång,58.7167,15.7833
Kinda,57.912202,15.951519
Linköping,58.4094,15.6257
Mjölby,58.3321,15.1312
Motala,58.55,15.05
Norrköping,58.5919,16.1856
Söderköping,58.4833,16.3
Vadstena,58.45,14.9
Valdemarsvik,58.1997,16.594
Ydre,57.8595195,15.2973458
Åtvidaberg,58.2,16
Ödeshög,58.2333,14.65
Askersund,58.8869,14.9151
Degerfors,59.2333,14.4333
Hallsberg,59.0667,15.1167
Hällefors,59.7833,14.5
Karlskoga,59.3151,14.4917
Kumla,59.1333,15.1333
Laxå,58.9833,14.6167
Lekeberg,59.253888888889,14.960277777778
Lindesberg,59.6024,15.213
