row_idx,col_idx,log2ratio
1,1,0
1,2,-2
1,3,0
1,4,-1
1,5,-1
1,6,-1
1,7,-1
1,8,-1
1,9,-1
1,10,0
1,11,-1
1,12,-1
1,13,0
1,14,-3
1,15,1
1,16,-1
1,17,0
1,18,-1
1,19,-1
1,20,-2
1,21,-1
1,22,0
1,23,-1
1,24,-1
1,25,-2
1,26,-2
1,27,-1
1,28,1
1,29,-1
1,30,-1
1,31,-2
1,32,0
1,33,1
1,34,-1
1,35,-1
1,36,-2
1,37,-1
1,38,-1
1,39,0
1,40,0
1,41,-2
1,42,-3
1,43,-1
1,44,0
1,45,-1
1,46,0
1,47,-1
2,1,-1
2,2,-2
2,3,0
2,4,0
2,5,-1
2,6,0
2,7,-1
2,8,-1
2,9,-1
2,10,0
2,11,0
2,12,0
2,13,1
2,14,0
2,15,1
2,16,-1
2,17,-1
2,18,-1
2,19,-1
2,20,-1
2,21,1
2,22,-1
2,23,0
2,24,-1
2,25,-1
2,26,-1
2,27,-1
2,28,1
2,29,-1
2,30,0
2,31,-1
2,32,0
2,33,1
2,34,1
2,35,-1
2,36,0
2,37,0
2,38,0
2,39,0
2,40,-1
2,41,-1
2,42,-3
2,43,0
2,44,0
2,45,0
2,46,1
2,47,0
3,1,0
3,2,-1
3,3,1
3,4,0
3,5,0
3,6,-1
3,7,0
3,8,-1
3,9,0
3,10,0
3,11,0
3,12,-1
3,13,-1
3,14,-2
3,15,-1
3,16,0
3,17,1
3,18,0
3,19,-1
3,20,0
3,21,-1
3,22,-1
3,23,0
3,24,0
3,25,-2
3,26,0
3,27,0
3,28,-1
3,29,0
3,30,0
3,31,-1
3,32,0
3,33,0
3,34,-1
3,35,-1
3,36,-2
3,37,-1
3,38,-1
3,39,0
3,40,0
3,41,-1
3,42,0
3,43,-1
3,44,0
3,45,-2
3,46,-1
3,47,-1
4,1,-1
4,2,-1
4,3,0
4,4,0
4,5,-1
4,6,-1
4,7,-1
4,8,-1
4,9,-1
4,10,0
4,11,0
4,12,-1
4,13,0
4,14,-1
4,15,0
4,16,0
4,17,0
4,18,-2
4,19,-2
4,20,-2
4,21,-1
4,22,0
4,23,-1
4,24,-1
4,25,-2
4,26,-1
4,27,0
4,28,1
4,29,-1
4,30,-2
4,31,-1
4,32,-1
4,33,0
4,34,-1
4,35,-1
4,36,-2
4,37,-1
4,38,0
4,39,0
4,40,0
4,41,-1
4,42,-2
4,43,-1
4,44,0
4,45,-1
4,46,0
4,47,0
5,1,0
5,2,-3
5,3,0
5,4,-1
5,5,0
5,6,-1
5,7,-1
5,8,-1
5,9,-2
5,10,-1
5,11,-1
5,12,0
5,13,0
