state,"income","hs_grad"
Savitaipale,13.6,66.7
Savonlinna,20.3,79
Savukoski,74.1,71.6
Seinäjoki,29.4,17
Sievi,40.5,34.2
Siikainen,20.4,6.5
Siikajoki,48,40.2
Siikalatva,44.1,48
Siilinjärvi,32.2,66.5
Simo,57.9,39.8
Sipoo,5.5,41.9
Siuntio,3.1,31.2
Sodankylä,75.3,55.5
Soini,30.2,31
Somero,8,23.9
Sonkajärvi,38.1,65.1
Sotkamo,42.7,73.9
Sulkava,19.5,73.8
Suomussalmi,50.2,79.2
Suonenjoki,27.8,61
Sysmä,16.7,46.2
Säkylä,12.1,11.8
Taipalsaari,13.3,70.5
Taivalkoski,57,72.4
Taivassalo,7.3,4.3
Tammela,9.8,26.4
Tampere,16.6,26.4
Tervo,31,57.1
Tervola,62.1,37.2
Teuva,26.4,5.7
Tohmajärvi,23.8,93.9
Toholampi,39.1,31.4
Toivakka,22.5,50.3
Tornio,59.8,30.3
Turku,6.2,11.1
Tuusniemi,29.6,75
Tuusula,5.7,39.4
Tyrnävä,49,45.8
Ulvila,15.9,7.2
Urjala,12.5,24.2
Utajärvi,49,53.7
Utsjoki,100,59.9
Uurainen,26.5,43.6
Uusikaarlepyy,36.7,13.8
Uusikaupunki,9.7,2.2
Vaala,47,58
Vaasa,32.4,4.4
Valkeakoski,14.3,29.2
Vantaa,4.7,39.2
Varkaus,24.7,68.8
Vehmaa,8.5,5.4
Vesanto,30.8,53.6
Vesilahti,14.7,25
Veteli,36.2,26.7
Vieremä,38.9,59.7
Vihti,5.9,32.2
Viitasaari,32.3,47.9
Vimpeli,33.1,27
Virolahti,7.5,67
Virrat,23.9,26.5
Vöyri,32.8,10.9
Ylitornio,64.4,25.5
Ylivieska,42.1,34.3
Ylöjärvi,17.2,24.7
Ypäjä,9.7,21.4
Ähtäri,27.1,29.6
Äänekoski,27.6,46.6
