field	occupation	n	count	expected	diff
COMPUTER SCIENCE	ENG-MECHANICAL ENGINEERS	27	832	3559.03374254748	0.233771315526914
COMPUTER SCIENCE	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	235	8448	7817.41229827546	1.08066450606215
COMPUTER SCIENCE	ENT-DESIGNERS	87	3543	8475.32917814399	0.418036860342441
COMPUTER SCIENCE	FIN-ACCOUNTANTS AND AUDITORS	244	8944	17889.949629324	0.499945510485931
COMPUTER SCIENCE	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	30	1078	3476.51342927745	0.31008078119924
COMPUTER SCIENCE	FIN-PERSONAL FINANCIAL ADVISORS	43	1599	5334.80790333509	0.299729630189754
COMPUTER SCIENCE	HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES	20	762	3558.72400099	0.214121690748712
COMPUTER SCIENCE	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	91	3522	20005.7942084202	0.176048996771027
COMPUTER SCIENCE	MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS	6	213	3579.70899150878	0.0595020434636572
COMPUTER SCIENCE	MED-PHARMACISTS	10	373	4772.98834167247	0.0781481062384702
COMPUTER SCIENCE	MED-PHYSICAL THERAPISTS	4	290	3651.64646823182	0.0794162311502247
COMPUTER SCIENCE	MED-PHYSICIANS AND SURGEONS	72	2284	16137.354461754	0.141534971262678
COMPUTER SCIENCE	MED-REGISTERED NURSES	54	2137	30759.1434827939	0.0694752765529833
COMPUTER SCIENCE	MGR-CHIEF EXECUTIVES AND LEGISLATORS	297	10614	12768.0116113621	0.831296236491103
COMPUTER SCIENCE	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	1422	51382	8723.19985951155	5.89026972068907
COMPUTER SCIENCE	MGR-CONSTRUCTION MANAGERS	37	1544	4752.98419941902	0.324848544665629
COMPUTER SCIENCE	MGR-EDUCATION ADMINISTRATORS	98	3543	13674.4960911025	0.259095470604237
COMPUTER SCIENCE	MGR-FINANCIAL MANAGERS	182	6041	12412.686421348	0.486679498292198
COMPUTER SCIENCE	MGR-FOOD SERVICE MANAGERS	55	2641	4522.79459862387	0.583931006020827
COMPUTER SCIENCE	MGR-GENERAL AND OPERATIONS MANAGERS	202	6963	10414.2080807375	0.668605807183654
COMPUTER SCIENCE	MGR-HUMAN RESOURCES MANAGERS	72	2624	4304.76235395953	0.609557458517179
COMPUTER SCIENCE	MGR-MARKETING AND SALES MANAGERS	133	4815	12598.1699906812	0.38219836718838
COMPUTER SCIENCE	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	48	1683	7581.02786633086	0.22200155832095
COMPUTER SCIENCE	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	1135	40304	36359.7612660335	1.10847812517546
COMPUTER SCIENCE	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	38	1753	3587.91714278181	0.488584303995619
COMPUTER SCIENCE	MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS	29	1027	4491.69138389432	0.228644381865253
