city,lat,lng
Nannestad,60.2456,10.9528
Hurdal,60.4158,11.0086
Hole,60.08921,10.28657
Flå,60.4086,9.4842
Nesbyen,60.5583,9.1011
Gol,60.7503,8.9847
Hemsedal,60.9058,8.5147
Ål,60.6756,8.5769
Hol,60.615,8.3022
Sigdal,60.04519,9.6368600000001
Krødsherad,60.156088,9.625777
Modum,59.90232,9.93868
Øvre Eiker,59.77152,9.9063
Lier,59.8675,10.2142
Flesberg,59.8478,9.4822
Rollag,59.9839,9.2953
Nore og Uvdal,60.26729,8.9462
Jevnaker,60.2389,10.3931
Lunner,60.2528,10.6672
Horten,59.4172,10.4834
Holmestrand,59.4875,10.3175
Tønsberg,59.2981,10.4236
Sandefjord,59.1288,10.2197
Larvik,59.0532,10.0271
Porsgrunn,59.1419,9.6568
Skien,59.2096,9.609
Notodden,59.5617,9.2658
Færder,59.22791,10.4153
Siljan,59.2975,9.7064
Bamble,59.0197,9.5608
Kragerø,58.8869,9.3469
Drangedal,59.1233,8.9819
Nome,59.2943551,9.0761345
Midt-Telemark,59.479656,9.011173
Tinn,59.87843,8.5934300000001
Hjartdal,59.60012,8.66101
Seljord,59.5133,8.6489
Kviteseid,59.4042,8.4911
Nissedal,59.02559,8.5203100000001
Fyresdal,59.1658,8.0197
Tokke,59.4756002,7.7071715
Vinje,59.8014,7.7792
Risør,58.7247,9.23
Grimstad,58.3405,8.5934
Arendal,58.4617,8.7721
Kristiansand,58.1467,7.9956
Lindesnes,58.0844,7.3016
Farsund,58.0828,6.7528
Flekkefjord,58.3272,6.6667
Gjerstad,58.8809,9.0175
Vegårshei,58.7756,8.8322
Tvedestrand,58.6219,8.9314
Froland,58.5306,8.6546
Lillesand,58.2488,8.3778
Birkenes,58.4494,8.2333
Åmli,58.7657,8.4839
Iveland,58.4411,7.9558
Evje og Hornnes,58.593888888889,7.8608333333333
Bygland,58.8244,7.8019
Valle,59.1642,7.4725
Bykle,59.4431,7.255
Vennesla,58.3106,7.8569
Åseral,58.7019,7.3936
Lyngdal,58.1333,7.0833
Hægebostad,58.39081,7.2350000000001
Kvinesdal,58.3381,7.0231
Sirdal,58.6651,6.71585
Eigersund,58.4513,5.9997
Stavanger,58.9701,5.7333
Haugesund,59.4102,5.2755
Sandnes,58.85,5.7333
Sokndal,58.34502,6.2921700000001
Lund,67.80719,14.847122
Bjerkreim,58.6569,6.1467
Hå,59.661152,9.649429
Klepp,58.77389,5.62935
Time,58.7228,5.7653
Gjesdal,58.831209,6.277085
Sola,58.88,5.6286
Randaberg,59.0017,5.6153
Strand,59.0633,6.0278
Hjelmeland,59.2172,6.4611
Suldal,59.48272,6.25866
