x,y,CI_left,CI_right
1991,1,-0.3,1.4
1992,3.4,-1.2,6.3
1993,-1.2,-3.4,-0.8
1994,2.1,-4.5,4.3
1995,-1.9,-7.8,0.3
1996,-3.3,-7.1,2
1997,-1.4,-4.5,0.7
1998,-3.1,-2,-0.9
1999,1,-0.6,2.7
2000,-0.5,0.1,3.8
2001,-1.1,-3.5,1.3
2002,-0.3,-1.1,6.4
2003,3.2,2.8,4.3
2004,2.3,1.7,2.2
2005,0.7,0.4,0.8
2006,2.4,1.8,4.6
2007,-1.2,-1.8,-0.2
2008,0.7,0.9,2.9
2009,0.7,-2.2,1.1
2010,0.8,-1.3,2.5
2011,-2.4,-6.5,-2.9
2012,-2,-1.4,0.7
2013,-2.9,-3.4,-0.5
2014,-2.6,-1.3,1
2015,-3.2,-1.7,1.8
2016,-6.4,-0.4,3.4
2017,-4.3,-4.5,-1.9
2018,-5.9,-3.1,-1.2
2019,-4.5,-3.1,-1.3
2020,2.7,-2.9,-1.1
2021,7,0.8,6.6
