x,y,CI_left,CI_right
2001,3,2.7,5.1
2002,3,2.6,5
2003,3,2.6,5.3
2004,3,2.5,5.1
2005,3,2.5,5
2006,2.9,2.5,5
2007,2.8,2.4,4.8
2008,2.9,2.4,4.9
2009,3.2,2.5,5.5
2010,3.2,2.4,5.3
2011,3.2,2.4,5.1
2012,3.3,2.5,4.9
2013,3.3,2.5,4.9
2014,3.3,2.5,4.7
2015,3.2,2.4,4.5
2016,3.2,2.4,4.4
2017,3,2.4,4.4
2018,3,2.5,4.3
2019,3,2.5,4.3
2020,3.1,2.5,4.4
2021,3,2.4,4.2
