x,y,CI_left,CI_right
1996,0,-9.09090909090909,-1.75438596491228
1997,3.2258064516129,-1.78571428571429,3.33333333333333
1998,-34.375,-5.17241379310345,1.81818181818182
1999,0,-8.92857142857143,-3.2258064516129
2000,7.14285714285714,-7.69230769230769,-3.33333333333333
2001,4.44444444444444,-5.17241379310345,18.75
2002,4.25531914893617,-8.33333333333333,-5.26315789473684
2003,0,-9.61538461538462,13.6363636363636
2004,2.04081632653061,-3.77358490566038,4.25531914893617
2005,0,-6.12244897959184,2.04081632653061
2006,4,-26,-2.17391304347826
2007,0,-11.1111111111111,0
2008,0,-2.5,0
2009,-5.76923076923077,-2.94117647058824,-2.32558139534884
2010,2.04081632653061,-5.26315789473684,2.38095238095238
2011,0,-2.77777777777778,6.25
2012,-2,-5.88235294117647,2.38095238095238
2013,-4.08163265306122,-6.25,-4.65116279069767
2014,0,-4.8780487804878,3.125
2015,0,-6.66666666666667,0
2016,2.12765957446809,-7.14285714285714,0
2017,-4.16666666666667,0,11.5384615384615
2018,0,-3.125,6.89655172413793
2019,6.52173913043478,-9.67741935483871,-2.7027027027027
2020,-6.12244897959184,-10.7142857142857,10.3448275862069
2021,4.34782608695652,-12,0
