x,y,CI_left,CI_right
1991,-3.4,-1.6,-0.5
1992,-4.8,-2,0.4
1993,-4.7,-3.5,-1.4
1994,0.1,-2.2,0.1
1995,-3.4,-1,0.8
1996,3.2,-2.2,2.8
1997,2.3,-2.5,4.8
1998,0.5,-1.2,-0.8
1999,1.1,2.4,3.9
2000,0.9,-2.8,0.2
2001,0.7,-1.7,2.3
2002,1.1,-0.2,2.2
2003,-1,-3.8,-1.5
2004,-2.6,-0.2,3.5
2005,1.4,-1.2,0.4
2006,1.4,-0.5,1.6
2007,0.9,1.2,2.5
2008,0.9,-0.7,1.3
2009,0.1,-1.5,-0.6
2010,-1.8,-1.8,-0.1
2011,1.1,0,1.1
2012,-0.6,-0.6,1.1
2013,-3.3,-0.7,1.1
2014,0.8,-1,1
2015,-0.6,-1.1,0.6
2016,-0.5,-1,-0.1
2017,0.6,-0.9,0.2
2018,3.8,-3,2.1
2019,-0.5,-0.2,1.1
2020,-0.7,-3,-0.1
2021,1,-2.2,1
