x,y,CI_left,CI_right
1996,9.25925925925926,-4.16666666666667,2
1997,1.69491525423729,0,6.52173913043478
1998,-21.6666666666667,1.78571428571429,8.16326530612245
1999,-2.12765957446809,-11.3207547169811,1.75438596491228
2000,-4.34782608695652,-5.88235294117647,10.6382978723404
2001,4.54545454545455,-9.61538461538462,25
2002,0,-5.35714285714286,2.12765957446809
2003,-8.69565217391304,-12.5,5.66037735849057
2004,-11.9047619047619,-3.57142857142857,-1.66666666666667
2005,5.40540540540541,-5.08474576271187,12.1951219512195
2006,0,-23.0769230769231,0
2007,-2.56410256410256,-7.5,-3.92156862745098
2008,0,-6.97674418604651,-5.40540540540541
2009,-2.63157894736842,-4.34782608695652,2.85714285714286
2010,0,-9.75609756097561,-2.77777777777778
2011,0,-4.76190476190476,0
2012,0,-7.5,-5.40540540540541
2013,-2.7027027027027,-2.85714285714286,0
2014,-5.55555555555556,-8.33333333333333,5.88235294117647
2015,0,-12.5,-2.77777777777778
2016,2.94117647058824,-5.71428571428571,0
2017,-2.85714285714286,-6.66666666666667,3.57142857142857
2018,8.82352941176471,-7.14285714285714,6.89655172413793
2019,2.7027027027027,-3.2258064516129,0
2020,-2.63157894736842,-10,3.84615384615385
2021,5.40540540540541,-14.8148148148148,-3.2258064516129
