x,y,CI_left,CI_right
1996,4.76190476190476,-3.125,2.94117647058824
1997,0,-9.67741935483871,-2.85714285714286
1998,63.6363636363636,-5.88235294117647,9.375
1999,13.8888888888889,-3.125,13.7931034482759
2000,-2.4390243902439,-2.94117647058824,3.2258064516129
2001,5,-6.25,6.06060606060606
2002,-7.14285714285714,-11.7647058823529,6.66666666666667
2003,0,-5.55555555555556,20
2004,7.69230769230769,-5.88235294117647,0
2005,9.52380952380952,3.2258064516129,12.5
2006,4.34782608695652,0,6.25
2007,6.25,-10.8108108108108,2.94117647058824
2008,-1.96078431372549,-2.85714285714286,5.55555555555556
2009,2,5.26315789473684,5.88235294117647
2010,3.92156862745098,0,8.33333333333333
2011,3.77358490566038,2.38095238095238,2.77777777777778
2012,0,5,10.8108108108108
2013,3.63636363636364,2.4390243902439,7.14285714285714
2014,0,2.38095238095238,8.88888888888889
2015,1.75438596491228,0,8.16326530612245
2016,3.44827586206897,-2.27272727272727,3.77358490566038
2017,1.66666666666667,1.81818181818182,6.97674418604651
2018,3.27868852459016,-1.78571428571429,4.34782608695652
2019,-1.58730158730159,1.72413793103448,2.08333333333333
2020,1.61290322580645,0,2.04081632653061
2021,-6.34920634920635,3.50877192982456,6.77966101694915
