x,y,CI_left,CI_right
1991,125,13.6,63.6
1992,94.4,-9.2,72.2
1993,67.1,1.3,61.3
1994,1.7,0,7.5
1995,13.4,-31.4,1.9
1996,-23.7,24.1,32.3
1997,1,-35.5,25.4
1998,-5.8,-32.3,-4.1
1999,-7.1,-21.6,-9.5
2000,-8.8,-17.2,15.8
2001,-12,-31.3,9.1
2002,-15.1,6.1,25
2003,3.2,-6.7,20
2004,23.4,-14.6,19
2005,-13.9,9.8,33.3
2006,-8.8,-22.2,-10.2
2007,-4.8,-35.7,-15.1
2008,-8.5,-12.9,-4.4
2009,0,12.5,63
2010,13,14.5,33.3
2011,-19.7,-16.7,5.3
2012,2,-8.9,3.3
2013,22,3.9,45
2014,-3.3,-7.7,7.5
2015,13.6,-16.7,32.1
2016,4.5,-13.5,2
2017,-7.1,-31.3,5.9
2018,-21.5,-24.1,13.6
2019,-11.8,-20,0
2020,20,12.2,36.5
2021,0,-17.4,52
