x,y,CI_left,CI_right
1996,2.77777777777778,-23.0769230769231,-4.34782608695652
1997,-8.33333333333333,-23.0769230769231,-8.69565217391304
1998,-16.6666666666667,-13.0434782608696,-11.5384615384615
1999,-27.7777777777778,-23.0769230769231,-11.5384615384615
2000,-33.3333333333333,-26.0869565217391,-23.0769230769231
2001,-38.8888888888889,-42.3076923076923,-26.0869565217391
2002,-44.4444444444444,-38.4615384615385,-15.3846153846154
2003,-47.2222222222222,-43.4782608695652,-19.2307692307692
2004,-50,-46.1538461538462,-19.2307692307692
2005,-61.1111111111111,-47.8260869565217,0
2006,-61.1111111111111,-19.2307692307692,26.0869565217391
2007,-66.6666666666667,-23.0769230769231,26.0869565217391
2008,-69.4444444444444,-23.0769230769231,26.0869565217391
2009,-72.2222222222222,-30.7692307692308,13.0434782608696
2010,-75,-34.6153846153846,0
2011,-75,-38.4615384615385,-13.0434782608696
2012,-75,-46.1538461538462,-21.7391304347826
2013,-77.7777777777778,-50,-26.0869565217391
2014,-77.7777777777778,-53.8461538461538,-21.7391304347826
2015,-80.5555555555556,-57.6923076923077,-30.4347826086957
2016,-77.7777777777778,-53.8461538461538,-39.1304347826087
2017,-77.7777777777778,-50,-34.7826086956522
2018,-80.5555555555556,-53.8461538461538,-39.1304347826087
2019,-86.1111111111111,-53.8461538461538,-43.4782608695652
2020,-88.8888888888889,-53.8461538461538,-47.8260869565217
2021,-80.5555555555556,-65.3846153846154,-47.8260869565217
