x,y,CI_left,CI_right
1990,2.2,1.8,10.1
1991,6.1,3.7,10.6
1992,11.5,4.1,10.7
1993,16.9,5.5,13
1994,17,5.4,9.9
1995,16.5,6.9,10
1996,14.2,4.5,11.1
1997,15.5,4.9,11.8
1998,11.4,3.5,10.6
1999,10.1,2.7,8
2000,9.7,3.3,5.6
2001,8.9,3.6,4.4
2002,9.3,4,4.9
2003,9.6,4.9,6.8
2004,8.9,4.6,7
2005,7.6,5,8.7
2006,6.9,4,7.1
2007,6.2,2.5,5.8
2008,5.8,2.8,5.6
2009,8.2,3.3,8.2
2010,7.7,4.5,9
2011,7.5,3.9,9.7
2012,7.6,3.5,9.7
2013,7.9,4.1,8.9
2014,8.6,5,8.7
2015,9.4,5.7,8.1
2016,8.6,6.1,8.3
2017,8.7,4.6,7.6
2018,7.8,4.3,7.4
2019,6.6,3.7,7.2
2020,7.6,5.2,8.6
2021,7.9,4.4,8.8
