x,y,CI_left,CI_right
1991,-4.6,-3,-0.8
1992,-7.5,-4.5,0.1
1993,-6.7,-5.6,-1.4
1994,-2,-3,0.1
1995,-2.6,-6,2.2
1996,5.5,-1.5,4.7
1997,-0.1,-2.7,5.4
1998,0.6,-2.6,2.4
1999,5,-0.8,5
2000,-2.1,-0.8,3
2001,2.7,-0.1,2.6
2002,4.1,-2.9,5.1
2003,-1.1,-11.1,-1
2004,-2,-2.2,6.2
2005,1,-0.4,1
2006,0.1,1,2.5
2007,2.1,0.8,1.5
2008,0.7,0.6,3.5
2009,-1.6,-2.8,-0.6
2010,-2.3,-3.6,-1.5
2011,-0.4,-4.4,2.4
2012,-0.8,-1.4,0.6
2013,-1.1,-1.8,-0.3
2014,-0.4,-1,1.8
2015,-1.4,-1.9,0.3
2016,-0.1,-2.3,1.3
2017,1.6,-0.5,2
2018,2.2,-0.5,2.8
2019,3.4,-0.9,1.4
2020,-1.9,-1.9,-1.4
2021,4,-0.4,3.9
