x,y,CI_left,CI_right
1990,2.7,1.3,6.1
1991,5.1,1.6,8.6
1992,10.9,1.5,8.6
1993,15.2,1.4,8.8
1994,19,1.7,6.5
1995,13.1,3,8
1996,14.8,2.1,8.3
1997,12.8,1.4,9.8
1998,13.3,1.8,6.7
1999,10.4,0.9,6.9
2000,9.4,0.9,5.9
2001,9,1.2,4.5
2002,7.5,1.2,4.7
2003,8.3,1.1,4.5
2004,8.3,1.3,5.6
2005,6.9,1.5,5.2
2006,6.8,1.1,4.4
2007,6.3,0.9,4
2008,5.4,1,3.8
2009,6.2,1.1,5.3
2010,6.5,1.4,5.8
2011,6.4,1.2,5.7
2012,6.6,1.2,5.8
2013,6.9,1.3,5.5
2014,7.3,1.3,5.4
2015,8,1.6,5.3
2016,7.5,1.9,5.3
2017,7.8,1.8,5.1
2018,6.9,1.6,4.4
2019,6.6,1.6,4.7
2020,7.4,2,5.8
2021,7.4,1.8,6.8
