x,y,CI_left,CI_right
1996,0,0,50
1997,25,0,0
1998,0,0,0
1999,-20,0,0
2000,25,0,0
2001,0,0,50
2002,20,-33.3333333333333,50
2003,-16.6666666666667,0,50
2004,0,-33.3333333333333,0
2005,20,25,50
2006,-16.6666666666667,0,33.3333333333333
2007,0,0,25
2008,20,0,20
2009,-33.3333333333333,0,25
2010,50,0,20
2011,16.6666666666667,-12.5,0
2012,0,0,33.3333333333333
2013,-14.2857142857143,-16.6666666666667,-11.1111111111111
2014,33.3333333333333,0,40
2015,-12.5,11.1111111111111,14.2857142857143
2016,14.2857142857143,-12.5,12.5
2017,0,0,0
2018,-12.5,-10,14.2857142857143
2019,42.8571428571429,10,33.3333333333333
2020,-10,-22.2222222222222,0
2021,11.1111111111111,-18.1818181818182,18.1818181818182
