x,y,CI_left,CI_right
1991,-1.6,3.3,9
1992,4.5,2.8,6.8
1993,-1.3,-1.2,6.1
1994,5.7,-0.6,8.6
1995,3.1,-5.5,4.8
1996,2.4,-3.6,3.2
1997,2.9,-2.6,4.8
1998,0.8,1,6.2
1999,5.1,2,4.5
2000,0,2.3,3.9
2001,2.9,-0.8,5.5
2002,0.9,-1.5,4.9
2003,4.3,3.8,8
2004,3.2,3,5.3
2005,0.2,0.4,5.2
2006,2.9,6.3,19.6
2007,1.9,4.6,4.9
2008,2.8,1.7,3.9
2009,2.1,-1,5.1
2010,2.6,0,4.1
2011,1.3,-3.9,0.3
2012,1.8,0,0.4
2013,-1.1,-2,0.1
2014,-1.7,0.5,4.9
2015,-1.6,-0.8,2.4
2016,0.9,-0.4,6.8
2017,-3.7,-3.9,-1
2018,-2.1,-2.8,1.9
2019,-2.7,-0.6,3.8
2020,2.3,-1.9,1
2021,10.5,2.5,7.1
