x,y,CI_left,CI_right
1991,130,5.3,106.7
1992,108.7,2.7,77.4
1993,56.3,10.9,54.5
1994,1.3,-28.7,3.5
1995,5.9,-2,55.3
1996,-1.9,-32.9,10.9
1997,-0.6,-25.8,16.3
1998,-21.7,-24.6,13
1999,-1.6,-24.4,-21.2
2000,1.7,-20.5,5.1
2001,-17.1,-27.4,16.1
2002,-3.9,0,11.1
2003,-14.3,15,59.2
2004,7.1,-16.7,25
2005,-8.9,-15.4,31.4
2006,-3.7,-20.8,-5.5
2007,-11.4,-26.3,-5.8
2008,-7.1,-14.3,-3.6
2009,21.5,3.7,61.9
2010,-10.1,9.1,35.7
2011,0,-11.9,29.6
2012,4.2,-16.7,4.1
2013,6.8,3,30
2014,6.3,-10.8,17.9
2015,14.3,-9.5,15.2
2016,-8.3,-11,16.3
2017,-2.3,-17,3.1
2018,-8.1,-12.8,2.4
2019,-17.7,-58.5,6.1
2020,20,18.2,182.4
2021,-12.8,-28.6,9.4
