x,y,CI_left,CI_right
1990,2,0.8,6.9
1991,4.3,1.4,6.8
1992,8.3,1.9,6.9
1993,11.8,2.3,8.9
1994,12.3,2.3,6.8
1995,12,2.6,5.9
1996,11.3,2.3,5.5
1997,12.3,1.8,6.8
1998,9,1.2,6.9
1999,7.6,0.8,5.2
2000,7.1,1.4,4.5
2001,6.7,1,3.3
2002,6.9,1.6,3.1
2003,6.6,2.3,3.6
2004,6.7,1.8,4.4
2005,6.4,2.4,4.4
2006,6.2,1.8,4.1
2007,5,1.3,3.4
2008,4.4,1.4,3.7
2009,6.1,1.8,5.3
2010,6.5,1.8,5.5
2011,5.6,2,5.2
2012,5.6,2,5.2
2013,5.9,2,5.3
2014,6.4,2.4,4.9
2015,7,2.6,4.8
2016,7,2.5,4.5
2017,6.4,2.3,4.1
2018,5.3,2.2,4.1
2019,4.3,2.4,4.7
2020,4.7,2.3,5.2
2021,5.7,2.4,5.4
