x,y,CI_left,CI_right
1990,2,1,6.7
1991,4.9,2,8.4
1992,8.9,3,7.6
1993,13.4,3.7,8.7
1994,13.2,4,7.6
1995,13.5,3.4,7.2
1996,10.6,3.4,8.2
1997,9.4,2.6,8.9
1998,9.6,1.9,7.9
1999,8.2,2,7
2000,7.3,2.3,4.8
2001,6.4,2.7,3.7
2002,6.3,2.8,4
2003,6.7,3,4.5
2004,7,3.4,5.2
2005,6.5,3.7,5.8
2006,5.4,3,4.8
2007,5,1.9,4.1
2008,4.5,1.6,3.8
2009,5.7,2.3,5.4
2010,6.3,2.7,6
2011,5.5,2.3,5.4
2012,5.3,2.4,6
2013,6.1,2.6,5.8
2014,6.4,2.6,5.4
2015,6.8,3.7,5.3
2016,6.7,4.2,5.1
2017,6.3,4.3,5.1
2018,5.1,3.7,4.8
2019,4.4,3.3,5.1
2020,5.2,3.9,6.5
2021,5.6,3.5,6.7
