1996,6.25,-7.14285714285714,91.6666666666667
1997,-18.75,-22.2222222222222,91.6666666666667
1998,-6.25,-22.2222222222222,75
1999,-31.25,-44.4444444444444,83.3333333333333
2000,-37.5,-55.5555555555556,108.333333333333
2001,-37.5,-66.6666666666667,58.3333333333333
2002,-37.5,-55.5555555555556,50
2003,-25,-33.3333333333333,116.666666666667
2004,-25,-55.5555555555556,100
2005,-12.5,-77.7777777777778,58.3333333333333
2006,-18.75,-21.4285714285714,177.777777777778
2007,-25,-21.4285714285714,188.888888888889
2008,-25,-21.4285714285714,177.777777777778
2009,-12.5,-21.4285714285714,177.777777777778
2010,-12.5,-21.4285714285714,166.666666666667
2011,-18.75,-21.4285714285714,155.555555555556
2012,-18.75,-21.4285714285714,166.666666666667
2013,-18.75,-14.2857142857143,144.444444444444
2014,-31.25,-21.4285714285714,122.222222222222
2015,-31.25,-21.4285714285714,88.8888888888889
2016,-31.25,-14.2857142857143,111.111111111111
2017,-31.25,0,100
2018,-25,-14.2857142857143,58.3333333333333
2019,-31.25,-14.2857142857143,66.6666666666667
2020,-37.5,-7.14285714285714,77.7777777777778
2021,-31.25,-7.14285714285714,88.8888888888889
