x,y,CI_left,CI_right
1991,-2.7714651562518,-2.97650103837379,-0.293753489840014
1992,-5.86823860555793,-5.73509703424076,-0.132310456167609
1993,-9.83653835061774,-6.57704938157935,-0.276152557597534
1994,-13.6727537000934,-6.65786862269691,-1.58651161661528
1995,-14.4341135349014,-6.08446122210969,-3.37573741836809
1996,-14.0338228338736,-5.57828166347018,-4.4955812806063
1997,-12.5918534497676,-8.92003107474934,-6.78932776805901
1998,-10.3689134472297,-12.4742055303343,-9.64767719350064
1999,-7.99600862874479,-14.6348716952732,-11.7428311287072
2000,-7.44863705053814,-16.6656551188366,-14.2855681388045
2001,-7.62974840518186,-18.0015051831711,-14.9226178688783
2002,-8.08887145708122,-19.943938045402,-14.9964589829393
2003,-7.73876129062028,-21.842167183296,-14.8152126120623
2004,-6.6918915177593,-24.4237792713992,-14.4372803646409
2005,-6.05857856425992,-26.036071980276,-14.1667533740355
2006,-5.85324212396322,-26.4816008347912,-13.4783528061302
2007,-6.47732647340432,-25.4621530655045,-11.3638118125644
2008,-7.75894886199776,-23.657019509151,-8.65350728509719
2009,-8.3184329830309,-20.8651750913053,-4.83592168814212
2010,-8.58836965173556,-18.0978833543054,-0.667590799397188
2011,-7.73530056409842,-15.3638400392843,3.71823573440023
2012,-6.19989156390232,-12.7080583944593,6.7249116423942
2013,-4.26303828717109,-9.67938290928808,9.27780034034041
2014,-3.91004418194193,-7.58012869696877,10.0742774479168
2015,-3.48956590953661,-5.46910965841083,9.73662217180142
2016,-4.32014027478169,-3.24658052767803,6.81788431782558
2017,-5.8434367321513,-2.2046261342827,3.76623245853989
2018,-7.86507780866797,-1.9770023222744,0.380544293656381
2019,-10.0920553254813,-3.86390411395698,0.079507659440169
2020,-12.1754126916377,-7.0021514615506,-0.247626908790755
2021,-13.9248099484352,-8.71694351490416,-0.924959335777233
