x,y,CI_left,CI_right
1996,-16.6666666666667,-14.2857142857143,50
1997,0,-33.3333333333333,41.6666666666667
1998,100,0,41.1764705882353
1999,30,-50,3.57142857142857
2000,7.69230769230769,-4.16666666666667,50
2001,-28.5714285714286,-43.4782608695652,33.3333333333333
2002,-20,-25,-7.14285714285714
2003,-12.5,-15.3846153846154,133.333333333333
2004,0,-42.8571428571429,0
2005,-28.5714285714286,0,100
2006,0,-12.5,23.0769230769231
2007,0,-28.5714285714286,-6.25
2008,0,-11.1111111111111,20
2009,40,-6.25,0
2010,0,-13.3333333333333,16.6666666666667
2011,-14.2857142857143,7.14285714285714,23.0769230769231
2012,16.6666666666667,12.5,25
2013,14.2857142857143,0,17.6470588235294
2014,0,0,25
2015,0,0,10
2016,0,-9.09090909090909,4.76190476190476
2017,0,-3.84615384615385,20
2018,25,-8.33333333333333,8
2019,-10,-7.40740740740741,9.52380952380952
2020,0,-4.34782608695652,0
2021,-22.2222222222222,-22.7272727272727,8
