x,y,CI_left,CI_right
2001,1.8,1.1,1.5
2002,1.9,1.3,1.4
2003,1.9,1.3,1.5
2004,1.9,1.2,1.4
2005,1.9,1.1,1.4
2006,1.8,1.1,1.3
2007,1.8,1,1.2
2008,1.7,0.9,1.2
2009,2,1,1.4
2010,2.1,1,1.4
2011,2,1,1.4
2012,2,1,1.6
2013,2,0.9,1.6
2014,2,1.1,1.7
2015,1.9,1.1,1.7
2016,1.9,1.1,1.7
2017,1.8,1.1,1.6
2018,1.7,1.1,1.6
2019,1.7,1.1,1.6
2020,1.7,1.2,1.6
2021,1.7,1.1,1.5
