x,y,CI_left,CI_right
1996,5.08474576271187,-12.5,3.63636363636364
1997,1.69491525423729,-5.35714285714286,1.81818181818182
1998,-22.0338983050847,-6.77966101694915,0
1999,-27.1186440677966,-8.47457627118644,0
2000,-32.2033898305085,-13.5593220338983,-1.81818181818182
2001,-33.8983050847458,-20.3389830508475,10.9090909090909
2002,-32.2033898305085,-18.6440677966102,9.09090909090909
2003,-32.2033898305085,-21.4285714285714,1.81818181818182
2004,-30.5084745762712,-23.2142857142857,-3.63636363636364
2005,-32.2033898305085,-25,-10.9090909090909
2006,-38.9830508474576,-37.2881355932203,-20
2007,-38.9830508474576,-38.9830508474576,-21.8181818181818
2008,-38.9830508474576,-45.7627118644068,-23.6363636363636
2009,-35.5932203389831,-49.1525423728814,-29.0909090909091
2010,-32.2033898305085,-49.1525423728814,-32.7272727272727
2011,-32.2033898305085,-50.8474576271186,-38.1818181818182
2012,-33.8983050847458,-50.8474576271186,-38.1818181818182
2013,-30.5084745762712,-55.9322033898305,-40
2014,-30.5084745762712,-57.6271186440678,-41.0714285714286
2015,-32.2033898305085,-57.6271186440678,-45.4545454545455
2016,-33.8983050847458,-55.9322033898305,-45.4545454545455
2017,-30.5084745762712,-52.5423728813559,-43.6363636363636
2018,-30.5084745762712,-50,-45.4545454545455
2019,-37.2881355932203,-51.7857142857143,-47.2727272727273
2020,-37.2881355932203,-55.9322033898305,-50
2021,-32.2033898305085,-67.7966101694915,-49.0909090909091
